# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	10282
#@/user_id	713eb3a7-a407-4821-ba6a-356b9c53ef46
a 	啊	c=44 d=2.14059 t=10094
du hou gan 	讀後感	c=1 d=1 t=4266
du nai 	毒奶	c=2 d=1.86071 t=9511
du qu 	讀取	c=2 d=1 t=9903
du shu 	度數	c=1 d=1 t=3968
du xie 	讀寫	c=2 d=1.0056 t=4229
duan 	斷	c=1 d=1 t=3244
duan 	段	c=3 d=1.00795 t=6770
duan 	端	c=8 d=1.8781 t=6550
duan kai 	斷開	c=1 d=1 t=2568
duan kou 	端口	c=1 d=1 t=6947
duan shi 	短時	c=1 d=1 t=1588
dui 	對	c=15 d=1.90245 t=9521
dui a 	對啊	c=1 d=1 t=9293
dui bi 	對比	c=1 d=1 t=5978
dui diao 	對調	c=1 d=1 t=2406
dui dui 	對對	c=1 d=1 t=2842
dui fang 	對方	c=4 d=1 t=9498
dui le 	對了	c=7 d=1 t=9209
dui lie 	隊列	c=2 d=1 t=8405
dui shu 	對數	c=1 d=1 t=7290
dui wo 	對我	c=1 d=1 t=123
dui ying 	對應	c=4 d=1.02848 t=6510
dui yu 	對於	c=3 d=1.00662 t=7729
dui zhe 	對着	c=1 d=1 t=5829
dun 	蹲	c=1 d=1 t=9528
duo 	多	c=17 d=1.08187 t=9088
duo ci 	多次	c=1 d=1 t=195
duo hang 	多行	c=1 d=1 t=5067
duo jiu 	多久	c=1 d=1 t=9169
duo lian 	多練	c=1 d=1 t=7265
duo nian 	多年	c=2 d=1 t=10047
duo shao 	多少	c=1 d=1 t=5668
duo xing 	惰性	c=1 d=1 t=6708
duo yu 	多餘	c=1 d=1 t=5216
e 	額	c=2 d=1.01777 t=6681
e e 	諤諤	c=1 d=1 t=4708
e meng 	噩夢	c=1 d=1 t=143
e qu 	俄區	c=1 d=1 t=4065
e xin 	噁心	c=2 d=1.00723 t=3933
e xing qian 	鱷形鉗	c=1 d=1 t=6573
e yi 	惡意	c=1 d=1 t=9431
en 	嗯	c=7 d=1.02992 t=9871
en 	恩	c=1 d=1 t=355
er 	二	c=3 d=1.99005 t=9789
er 	而	c=6 d=1.0262 t=8614
er 	耳	c=1 d=1 t=9395
er bu shi 	而不是	c=2 d=1 t=6961
er cha 	二叉	c=2 d=1.90937 t=9619
er cha shu 	二叉樹	c=2 d=1 t=9454
er ci 	二次	c=1 d=1 t=7292
er ci yuan 	二次元	c=3 d=1.04691 t=7363
er ji 	耳機	c=2 d=1.99501 t=4623
er jin zhi 	二進制	c=13 d=2.13311 t=9784
er qie 	而且	c=12 d=1.20617 t=9857
er sai 	耳塞	c=2 d=1.98511 t=4624
er shi 	而是	c=1 d=1 t=4359
er shou 	二手	c=5 d=1 t=9193
er yan 	而言	c=2 d=1.01139 t=6738
er yi 	而已	c=2 d=1.00331 t=6984
fa 	法	c=2 d=1.00449 t=2782
fa 	發	c=15 d=1.00756 t=10231
fa biao 	發表	c=1 d=1 t=3349
fa bu 	發佈	c=4 d=1.73581 t=8663
fa dian 	發電	c=0 d=0.1 t=8377
fa hang 	發行	c=0 d=0.1 t=3915
fa hang ban 	發行版	c=1 d=1 t=3916
fa huo 	發貨	c=1 d=1 t=424
fa song 	發送	c=1 d=1 t=6568
fa xian 	發現	c=12 d=2.52041 t=8099
fa xing 	發行	c=0 d=0.1 t=8648
fa xing ban 	發行版	c=1 d=1 t=8649
fan 	反	c=2 d=1 t=9248
fan 	番	c=6 d=3.10746 t=10104
fan 	翻	c=3 d=1 t=7368
fan er 	反而	c=3 d=1.22441 t=8277
fan gan 	反感	c=1 d=1 t=2760
fan hui 	返回	c=25 d=3.24518 t=9904
fan ren lei 	反人類	c=1 d=1 t=4190
fan ti 	繁體	c=1 d=1 t=6054
